lemma	gender	article	opposite_gender_word	source	notes
cefalea	f	la		doozan/es-en.data	wiktionary-gender
cefalización	f	la		doozan/es-en.data	wiktionary-gender
cefalocordado	m	el		doozan/es-en.data	wiktionary-gender
cefalometría	f	la		doozan/es-en.data	wiktionary-gender
cefalonio	m	el	cefalonia	doozan/es-en.data	meta-f=+
cefalosporina	f	la		doozan/es-en.data	wiktionary-gender
cefalotórax	m	el		doozan/es-en.data	wiktionary-gender
cefalón	m	el		doozan/es-en.data	wiktionary-gender
cefalópodo	m	el		doozan/es-en.data	wiktionary-gender
ceftriaxona	f	la		doozan/es-en.data	wiktionary-gender
cegamiento	m	el		doozan/es-en.data	wiktionary-gender
cegatón	m	el		doozan/es-en.data	wiktionary-gender
cegetista	mf	el/la		doozan/es-en.data	wiktionary-gender
cegrí	mf	el/la		doozan/es-en.data	wiktionary-gender
ceguedad	f	la		doozan/es-en.data	wiktionary-gender
ceguera	f	la		doozan/es-en.data	wiktionary-gender
ceheginero	m	el	ceheginera	doozan/es-en.data	meta-f=+
ceiba	f	la		doozan/es-en.data	wiktionary-gender
ceibalita	f	la		doozan/es-en.data	wiktionary-gender
ceibeño	m	el	ceibeña	doozan/es-en.data	meta-f=+
ceibo	m	el		doozan/es-en.data	wiktionary-gender
ceilandés	m	el		doozan/es-en.data	meta-f=+
ceilanés	m	el		doozan/es-en.data	meta-f=+
ceja	f	la		doozan/es-en.data	wiktionary-gender
cejilla	f	la		doozan/es-en.data	wiktionary-gender
cejón	m	el		doozan/es-en.data	wiktionary-gender
cel	m	el		doozan/es-en.data	wiktionary-gender
cela	f	la		doozan/es-en.data	wiktionary-gender
celacanto	m	el		doozan/es-en.data	wiktionary-gender
celada	f	la		doozan/es-en.data	wiktionary-gender
celador	m	el		doozan/es-en.data	meta-f=+
celadón	m	el		doozan/es-en.data	wiktionary-gender
celaje	m	el		doozan/es-en.data	wiktionary-gender
celayense	mf	el/la		doozan/es-en.data	wiktionary-gender
celda	f	la		doozan/es-en.data	wiktionary-gender
celdilla	f	la		doozan/es-en.data	wiktionary-gender
celebración	f	la		doozan/es-en.data	wiktionary-gender
celebrante	mf	el/la		doozan/es-en.data	wiktionary-gender
celebridad	f	la		doozan/es-en.data	wiktionary-gender
celebrity	mf	el/la		doozan/es-en.data	wiktionary-gender
celemín	m	el		doozan/es-en.data	wiktionary-gender
celenterado	m	el		doozan/es-en.data	wiktionary-gender
celentéreo	m	el		doozan/es-en.data	wiktionary-gender
celera	f	la		doozan/es-en.data	wiktionary-gender
celeridad	f	la		doozan/es-en.data	wiktionary-gender
celesta	f	la		doozan/es-en.data	wiktionary-gender
celeste	m	el		doozan/es-en.data	wiktionary-gender
celestina	f	la		doozan/es-en.data	wiktionary-gender
celestinaje	m	el		doozan/es-en.data	wiktionary-gender
celestino	m	el		doozan/es-en.data	wiktionary-gender
celestita	f	la		doozan/es-en.data	wiktionary-gender
celiaquismo	m	el		doozan/es-en.data	wiktionary-gender
celiaquía	f	la		doozan/es-en.data	wiktionary-gender
celidonia	f	la		doozan/es-en.data	wiktionary-gender
celinda	f	la		doozan/es-en.data	wiktionary-gender
cellisca	f	la		doozan/es-en.data	wiktionary-gender
cellista	mf	el/la		doozan/es-en.data	wiktionary-gender
celo	m	el		doozan/es-en.data	wiktionary-gender
celobiosa	f	la		doozan/es-en.data	wiktionary-gender
celofán	m	el		doozan/es-en.data	wiktionary-gender
celoma	m	el		doozan/es-en.data	wiktionary-gender
celomado	m	el		doozan/es-en.data	wiktionary-gender
celos	m	el		doozan/es-en.data	wiktionary-gender
celosía	f	la		doozan/es-en.data	wiktionary-gender
celsius	m	el		doozan/es-en.data	wiktionary-gender
celta	mf	el/la		doozan/es-en.data	wiktionary-gender
celtibero	m	el	celtibera	doozan/es-en.data	meta-f=+
celtismo	m	el		doozan/es-en.data	wiktionary-gender
celtiño	m	el	celtiña	doozan/es-en.data	meta-f=+
celtíbero	m	el	celtíbera	doozan/es-en.data	meta-f=+
celu	m	el		doozan/es-en.data	wiktionary-gender
celular	m	el		doozan/es-en.data	wiktionary-gender
celularidad	f	la		doozan/es-en.data	wiktionary-gender
celularización	f	la		doozan/es-en.data	wiktionary-gender
celulasa	f	la		doozan/es-en.data	wiktionary-gender
celulitis	f	la		doozan/es-en.data	wiktionary-gender
celuloide	m	el		doozan/es-en.data	wiktionary-gender
celulosa	f	la		doozan/es-en.data	wiktionary-gender
celurosauriano	m	el		doozan/es-en.data	wiktionary-gender
celurosaurio	m	el		doozan/es-en.data	wiktionary-gender
celíaco	m	el	celíaca	doozan/es-en.data	meta-f=+
cemen	m	el		doozan/es-en.data	wiktionary-gender
cementación	f	la		doozan/es-en.data	wiktionary-gender
cementera	f	la		doozan/es-en.data	wiktionary-gender
cementerio	m	el		doozan/es-en.data	wiktionary-gender
cementero	m	el	cementera	doozan/es-en.data	meta-f=+
cemento	m	el		doozan/es-en.data	wiktionary-gender
cementoblasto	m	el		doozan/es-en.data	wiktionary-gender
cemita	f	la		doozan/es-en.data	wiktionary-gender
cempasúchil	m	el		doozan/es-en.data	wiktionary-gender
cemí	m	el		doozan/es-en.data	wiktionary-gender
cena	f	la		doozan/es-en.data	wiktionary-gender
cenador	m	el		doozan/es-en.data	wiktionary-gender
cenaduría	f	la		doozan/es-en.data	wiktionary-gender
cenagal	m	el		doozan/es-en.data	wiktionary-gender
cenaguero	m	el	cenaguera	doozan/es-en.data	meta-f=+
cencellada	f	la		doozan/es-en.data	wiktionary-gender
cencerrada	f	la		doozan/es-en.data	wiktionary-gender
cencerro	m	el		doozan/es-en.data	wiktionary-gender
cenceñada	f	la		doozan/es-en.data	wiktionary-gender
cencha	f	la		doozan/es-en.data	wiktionary-gender
cendal	m	el		doozan/es-en.data	wiktionary-gender
cenefa	f	la		doozan/es-en.data	wiktionary-gender
cenetes	m	el		doozan/es-en.data	wiktionary-gender
cenetista	mf	el/la		doozan/es-en.data	wiktionary-gender
cenhegí	mf	el/la		doozan/es-en.data	wiktionary-gender
cenicero	m	el		doozan/es-en.data	wiktionary-gender
cenicienta	f	la		doozan/es-en.data	wiktionary-gender
cenit	m	el		doozan/es-en.data	wiktionary-gender
cenita	f	la		doozan/es-en.data	wiktionary-gender
cenites	m	el		doozan/es-en.data	wiktionary-gender
ceniza	f	la		doozan/es-en.data	wiktionary-gender
cenizo	m	el		doozan/es-en.data	wiktionary-gender
cenobio	m	el		doozan/es-en.data	wiktionary-gender
cenobita	mf	el/la		doozan/es-en.data	wiktionary-gender
cenocito	m	el		doozan/es-en.data	wiktionary-gender
cenotafio	m	el		doozan/es-en.data	wiktionary-gender
cenote	m	el		doozan/es-en.data	wiktionary-gender
censista	mf	el/la		doozan/es-en.data	wiktionary-gender
censo	m	el		doozan/es-en.data	wiktionary-gender
censor	m	el		doozan/es-en.data	meta-f=+
censura	f	la		doozan/es-en.data	wiktionary-gender
censurador	m	el		doozan/es-en.data	meta-f=+
cent	m	el		doozan/es-en.data	wiktionary-gender
centalla	f	la		doozan/es-en.data	wiktionary-gender
centaura	f	la		doozan/es-en.data	wiktionary-gender
centauro	m	el		doozan/es-en.data	wiktionary-gender
centavo	m	el		doozan/es-en.data	wiktionary-gender
centella	f	la		doozan/es-en.data	wiktionary-gender
centelleador	m	el		doozan/es-en.data	wiktionary-gender
centelleo	m	el		doozan/es-en.data	wiktionary-gender
centena	f	la		doozan/es-en.data	wiktionary-gender
centenal	m	el		doozan/es-en.data	wiktionary-gender
centenar	m	el		doozan/es-en.data	wiktionary-gender
centenario	m	el		doozan/es-en.data	wiktionary-gender
centenial	mf	el/la		doozan/es-en.data	wiktionary-gender
centeno	m	el		doozan/es-en.data	wiktionary-gender
center	m	el		doozan/es-en.data	wiktionary-gender
centerfielder	m	el		doozan/es-en.data	wiktionary-gender
centerfielders	m	el		doozan/es-en.data	wiktionary-gender
centigramo	m	el		doozan/es-en.data	wiktionary-gender
centimetraje	m	el		doozan/es-en.data	wiktionary-gender
centimillo	m	el		doozan/es-en.data	wiktionary-gender
centinela	m	el		doozan/es-en.data	wiktionary-gender
centinodia	f	la		doozan/es-en.data	wiktionary-gender
centisegundo	m	el		doozan/es-en.data	wiktionary-gender
centiárea	f	la		doozan/es-en.data	wiktionary-gender
centolla	f	la		doozan/es-en.data	wiktionary-gender
centollo	m	el		doozan/es-en.data	wiktionary-gender
central	f	la		doozan/es-en.data	wiktionary-gender
centralense	mf	el/la		doozan/es-en.data	wiktionary-gender
centralidad	f	la		doozan/es-en.data	wiktionary-gender
centralismo	m	el		doozan/es-en.data	wiktionary-gender
centralista	mf	el/la		doozan/es-en.data	wiktionary-gender
centralita	f	la		doozan/es-en.data	wiktionary-gender
centralización	f	la		doozan/es-en.data	wiktionary-gender
centranto	m	el		doozan/es-en.data	wiktionary-gender
centrifugación	f	la		doozan/es-en.data	wiktionary-gender
centrifugador	m	el		doozan/es-en.data	wiktionary-gender
centrifugadora	f	la		doozan/es-en.data	wiktionary-gender
centriolo	m	el		doozan/es-en.data	wiktionary-gender
centrismo	m	el		doozan/es-en.data	wiktionary-gender
centrista	mf	el/la		doozan/es-en.data	wiktionary-gender
centro	m	el		doozan/es-en.data	wiktionary-gender
centro-derecha	mf	el/la		doozan/es-en.data	wiktionary-gender
centro-izquierda	mf	el/la		doozan/es-en.data	wiktionary-gender
centroafricano	m	el	centroafricana	doozan/es-en.data	meta-f=+
centroamericanización	f	la		doozan/es-en.data	wiktionary-gender
centroamericano	m	el	centroamericana	doozan/es-en.data	meta-f=+
centrocampismo	m	el		doozan/es-en.data	wiktionary-gender
centrocampista	mf	el/la		doozan/es-en.data	wiktionary-gender
centrodelantero	m	el		doozan/es-en.data	wiktionary-gender
centroderecha	mf	el/la		doozan/es-en.data	wiktionary-gender
centroderechista	mf	el/la		doozan/es-en.data	wiktionary-gender
centroeuropeo	m	el	centroeuropea	doozan/es-en.data	meta-f=+
centroforward	mf	el/la		doozan/es-en.data	wiktionary-gender
centroide	m	el		doozan/es-en.data	wiktionary-gender
centroizquierda	mf	el/la		doozan/es-en.data	wiktionary-gender
centroizquierdista	mf	el/la		doozan/es-en.data	wiktionary-gender
centronorte	m	el		doozan/es-en.data	wiktionary-gender
centrosaurino	m	el		doozan/es-en.data	wiktionary-gender
centrosoma	m	el		doozan/es-en.data	wiktionary-gender
centrárquido	m	el		doozan/es-en.data	wiktionary-gender
centrífuga	f	la		doozan/es-en.data	wiktionary-gender
centríolo	m	el		doozan/es-en.data	wiktionary-gender
centrómero	m	el		doozan/es-en.data	wiktionary-gender
centuria	f	la		doozan/es-en.data	wiktionary-gender
centuriación	f	la		doozan/es-en.data	wiktionary-gender
centurión	m	el		doozan/es-en.data	wiktionary-gender
centáurea	f	la		doozan/es-en.data	wiktionary-gender
centésimas	f	la		doozan/es-en.data	wiktionary-gender
centésimo	m	el		doozan/es-en.data	wiktionary-gender
centímetro	m	el		doozan/es-en.data	wiktionary-gender
centón	m	el		doozan/es-en.data	wiktionary-gender
cenutrio	m	el		doozan/es-en.data	wiktionary-gender
cenzonte	m	el		doozan/es-en.data	wiktionary-gender
cenzontle	m	el		doozan/es-en.data	wiktionary-gender
cenáculo	m	el		doozan/es-en.data	wiktionary-gender
cenénquima	m	el		doozan/es-en.data	wiktionary-gender
cenómanos	m	el		doozan/es-en.data	wiktionary-gender
ceo	mf	el/la		doozan/es-en.data	wiktionary-gender
ceolita	f	la		doozan/es-en.data	wiktionary-gender
cepa	f	la		doozan/es-en.data	wiktionary-gender
cepaje	m	el		doozan/es-en.data	wiktionary-gender
cepillo	m	el		doozan/es-en.data	wiktionary-gender
cepo	m	el		doozan/es-en.data	wiktionary-gender
ceporro	m	el		doozan/es-en.data	wiktionary-gender
cepstrum	m	el		doozan/es-en.data	wiktionary-gender
cequí	m	el		doozan/es-en.data	wiktionary-gender
cera	f	la		doozan/es-en.data	wiktionary-gender
ceramida	f	la		doozan/es-en.data	wiktionary-gender
ceramio	m	el		doozan/es-en.data	wiktionary-gender
ceramista	mf	el/la		doozan/es-en.data	wiktionary-gender
ceramógrafo	m	el		doozan/es-en.data	wiktionary-gender
ceratopsiano	m	el		doozan/es-en.data	wiktionary-gender
ceratopsio	m	el		doozan/es-en.data	wiktionary-gender
ceratosaurio	m	el		doozan/es-en.data	wiktionary-gender
ceratópsido	m	el		doozan/es-en.data	wiktionary-gender
ceraunomancia	f	la		doozan/es-en.data	wiktionary-gender
ceraunomancía	f	la		doozan/es-en.data	wiktionary-gender
cerbatana	f	la		doozan/es-en.data	wiktionary-gender
cerbatanero	m	el	cerbatanera	doozan/es-en.data	meta-f=+
cerca	f	la		doozan/es-en.data	wiktionary-gender
cercado	m	el		doozan/es-en.data	wiktionary-gender
cercamiento	m	el		doozan/es-en.data	wiktionary-gender
cercanía	f	la		doozan/es-en.data	wiktionary-gender
cercanías	f	la		doozan/es-en.data	wiktionary-gender
cercenamiento	m	el		doozan/es-en.data	wiktionary-gender
cerceta	f	la		doozan/es-en.data	wiktionary-gender
cercillo	m	el		doozan/es-en.data	wiktionary-gender
cerclaje	m	el		doozan/es-en.data	wiktionary-gender
cerco	m	el		doozan/es-en.data	wiktionary-gender
cercopiteco	m	el		doozan/es-en.data	wiktionary-gender
cercópido	m	el		doozan/es-en.data	wiktionary-gender
cerda	f	la	cerdo	doozan/es-en.data	meta-m=+
cerdita	f	la	cerdito	doozan/es-en.data	meta-m=+
cerdito	m	el	cerdita	doozan/es-en.data	meta-f=+
cerdo	m	el	cerda	doozan/es-en.data	meta-f=+
cereal	m	el		doozan/es-en.data	wiktionary-gender
cerealista	mf	el/la		doozan/es-en.data	wiktionary-gender
cerebelo	m	el		doozan/es-en.data	wiktionary-gender
cerebración	f	la		doozan/es-en.data	wiktionary-gender
cerebrito	m	el		doozan/es-en.data	wiktionary-gender
cerebro	m	el		doozan/es-en.data	wiktionary-gender
cerebrudo	m	el	cerebruda	doozan/es-en.data	meta-f=explicit
cerebruto	m	el	cerebruta	doozan/es-en.data	meta-f=explicit
cerebrín	m	el		doozan/es-en.data	wiktionary-gender
cerebrósido	m	el		doozan/es-en.data	wiktionary-gender
cerefolio	m	el		doozan/es-en.data	wiktionary-gender
cereguete	m	el		doozan/es-en.data	wiktionary-gender
cereipo	m	el		doozan/es-en.data	wiktionary-gender
ceremonia	f	la		doozan/es-en.data	wiktionary-gender
ceremoniosidad	f	la		doozan/es-en.data	wiktionary-gender
cerero	m	el	cerera	doozan/es-en.data	meta-f=+
cerería	f	la		doozan/es-en.data	wiktionary-gender
cereza	f	la		doozan/es-en.data	wiktionary-gender
cerezo	m	el		doozan/es-en.data	wiktionary-gender
cerilla	f	la		doozan/es-en.data	wiktionary-gender
cerillero	m	el		doozan/es-en.data	wiktionary-gender
cerillita	f	la		doozan/es-en.data	wiktionary-gender
cerillo	m	el		doozan/es-en.data	wiktionary-gender
cerimán	m	el		doozan/es-en.data	wiktionary-gender
cerio	m	el		doozan/es-en.data	wiktionary-gender
cernada	f	la		doozan/es-en.data	wiktionary-gender
cerneja	f	la		doozan/es-en.data	wiktionary-gender
cernidor	m	el		doozan/es-en.data	wiktionary-gender
cerno	m	el		doozan/es-en.data	wiktionary-gender
cernícalo	m	el		doozan/es-en.data	wiktionary-gender
cero	m	el		doozan/es-en.data	wiktionary-gender
ceroidolipofuscinosis	f	la		doozan/es-en.data	wiktionary-gender
ceromancia	f	la		doozan/es-en.data	wiktionary-gender
ceromancía	f	la		doozan/es-en.data	wiktionary-gender
cerotada	f	la		doozan/es-en.data	wiktionary-gender
cerotazo	m	el		doozan/es-en.data	wiktionary-gender
cerote	m	el	cerota	doozan/es-en.data	meta-f=explicit
cerquero	m	el		doozan/es-en.data	wiktionary-gender
cerquillo	m	el		doozan/es-en.data	wiktionary-gender
cerrado	m	el		doozan/es-en.data	wiktionary-gender
cerrador	m	el		doozan/es-en.data	wiktionary-gender
cerradura	f	la		doozan/es-en.data	wiktionary-gender
cerraja	f	la		doozan/es-en.data	wiktionary-gender
cerrajero	m	el		doozan/es-en.data	wiktionary-gender
cerrajería	f	la		doozan/es-en.data	wiktionary-gender
cerrajón	m	el		doozan/es-en.data	wiktionary-gender
cerramiento	m	el		doozan/es-en.data	wiktionary-gender
cerrazón	f	la		doozan/es-en.data	wiktionary-gender
cerrejón	m	el		doozan/es-en.data	wiktionary-gender
cerrillo	m	el		doozan/es-en.data	wiktionary-gender
cerrista	mf	el/la		doozan/es-en.data	wiktionary-gender
cerrito	m	el		doozan/es-en.data	wiktionary-gender
cerro	m	el		doozan/es-en.data	wiktionary-gender
cerrojazo	m	el		doozan/es-en.data	wiktionary-gender
cerrojo	m	el		doozan/es-en.data	wiktionary-gender
certamen	m	el		doozan/es-en.data	wiktionary-gender
certeza	f	la		doozan/es-en.data	wiktionary-gender
certidumbre	f	la		doozan/es-en.data	wiktionary-gender
certificación	f	la		doozan/es-en.data	wiktionary-gender
certificado	m	el		doozan/es-en.data	wiktionary-gender
certificador	m	el		doozan/es-en.data	meta-f=+
certinidad	f	la		doozan/es-en.data	wiktionary-gender
certitud	f	la		doozan/es-en.data	wiktionary-gender
ceruloplasmina	f	la		doozan/es-en.data	wiktionary-gender
cerumen	m	el		doozan/es-en.data	wiktionary-gender
cerusita	f	la		doozan/es-en.data	wiktionary-gender
cervantismo	m	el		doozan/es-en.data	wiktionary-gender
cervantista	mf	el/la		doozan/es-en.data	wiktionary-gender
cervatillo	m	el		doozan/es-en.data	wiktionary-gender
cervato	m	el	cervata	doozan/es-en.data	meta-f=+
cerve	f	la		doozan/es-en.data	wiktionary-gender
cervecero	m	el	cervecera	doozan/es-en.data	meta-f=+
cervecería	f	la		doozan/es-en.data	wiktionary-gender
cervecina	f	la		doozan/es-en.data	wiktionary-gender
cervecita	f	la		doozan/es-en.data	wiktionary-gender
cerveza	f	la		doozan/es-en.data	wiktionary-gender
cervezería	f	la		doozan/es-en.data	wiktionary-gender
cervicabra	f	la		doozan/es-en.data	wiktionary-gender
cervicitis	f	la		doozan/es-en.data	wiktionary-gender
cervicometría	f	la		doozan/es-en.data	wiktionary-gender
cerviz	f	la		doozan/es-en.data	wiktionary-gender
cervunal	m	el		doozan/es-en.data	wiktionary-gender
cervuno	m	el		doozan/es-en.data	wiktionary-gender
cerámica	f	la		doozan/es-en.data	wiktionary-gender
cerúleo	m	el		doozan/es-en.data	wiktionary-gender
cesacionalismo	m	el		doozan/es-en.data	wiktionary-gender
cesacionismo	m	el		doozan/es-en.data	wiktionary-gender
cesación	f	la		doozan/es-en.data	wiktionary-gender
cesamiento	m	el		doozan/es-en.data	wiktionary-gender
cesante	mf	el/la		doozan/es-en.data	wiktionary-gender
cesantía	f	la		doozan/es-en.data	wiktionary-gender
cesaraugustano	m	el	cesaraugustana	doozan/es-en.data	meta-f=+
cesarense	mf	el/la		doozan/es-en.data	wiktionary-gender
cesariano	m	el		doozan/es-en.data	wiktionary-gender
cesarismo	m	el		doozan/es-en.data	wiktionary-gender
cesarista	mf	el/la		doozan/es-en.data	wiktionary-gender
cesaropapismo	m	el		doozan/es-en.data	wiktionary-gender
cese	m	el		doozan/es-en.data	wiktionary-gender
cesfam	m	el		doozan/es-en.data	wiktionary-gender
cesina	f	la		doozan/es-en.data	wiktionary-gender
cesio	m	el		doozan/es-en.data	wiktionary-gender
cesionario	m	el	cesionaria	doozan/es-en.data	meta-f=+
cesionista	mf	el/la		doozan/es-en.data	wiktionary-gender
cesión	f	la		doozan/es-en.data	wiktionary-gender
cesta	f	la		doozan/es-en.data	wiktionary-gender
cestero	m	el	cestera	doozan/es-en.data	meta-f=+
cestería	f	la		doozan/es-en.data	wiktionary-gender
cestilla	f	la		doozan/es-en.data	wiktionary-gender
cestillo	m	el		doozan/es-en.data	wiktionary-gender
cestita	f	la		doozan/es-en.data	wiktionary-gender
cestito	m	el		doozan/es-en.data	wiktionary-gender
cesto	m	el		doozan/es-en.data	wiktionary-gender
cestoball	m	el		doozan/es-en.data	wiktionary-gender
cestodo	m	el		doozan/es-en.data	wiktionary-gender
cestriano	m	el	cestriana	doozan/es-en.data	meta-f=+
cestón	m	el		doozan/es-en.data	wiktionary-gender
cesura	f	la		doozan/es-en.data	wiktionary-gender
cesárea	f	la		doozan/es-en.data	wiktionary-gender
cetal	m	el		doozan/es-en.data	wiktionary-gender
cetano	m	el		doozan/es-en.data	wiktionary-gender
cetemista	mf	el/la		doozan/es-en.data	wiktionary-gender
cetena	f	la		doozan/es-en.data	wiktionary-gender
cetevista	mf	el/la		doozan/es-en.data	wiktionary-gender
cetia	f	la		doozan/es-en.data	wiktionary-gender
cetilo	m	el		doozan/es-en.data	wiktionary-gender
cetilpiridinio	m	el		doozan/es-en.data	wiktionary-gender
cetme	m	el		doozan/es-en.data	wiktionary-gender
cetoacidosis	f	la		doozan/es-en.data	wiktionary-gender
cetobemidona	f	la		doozan/es-en.data	wiktionary-gender
cetoglutarato	m	el		doozan/es-en.data	wiktionary-gender
cetogénesis	f	la		doozan/es-en.data	wiktionary-gender
cetona	f	la		doozan/es-en.data	wiktionary-gender
cetopentosa	f	la		doozan/es-en.data	wiktionary-gender
cetosa	f	la		doozan/es-en.data	wiktionary-gender
cetosis	f	la		doozan/es-en.data	wiktionary-gender
cetoácido	m	el		doozan/es-en.data	wiktionary-gender
cetra	f	la		doozan/es-en.data	wiktionary-gender
cetrera	f	la		doozan/es-en.data	wiktionary-gender
cetrero	m	el	cetrera	doozan/es-en.data	meta-f=+
cetrería	f	la		doozan/es-en.data	wiktionary-gender
cetro	m	el		doozan/es-en.data	wiktionary-gender
cetáceo	m	el		doozan/es-en.data	wiktionary-gender
ceugma	m	el		doozan/es-en.data	wiktionary-gender
ceutí	mf	el/la		doozan/es-en.data	wiktionary-gender
ceviana	f	la		doozan/es-en.data	wiktionary-gender
ceviche	m	el		doozan/es-en.data	wiktionary-gender
cevichero	m	el	cevichera	doozan/es-en.data	meta-f=+
cevichería	f	la		doozan/es-en.data	wiktionary-gender
ceñidor	m	el		doozan/es-en.data	wiktionary-gender
ceñiglo	m	el		doozan/es-en.data	wiktionary-gender
ceño	m	el		doozan/es-en.data	wiktionary-gender
cf	m	el		doozan/es-en.data	wiktionary-gender
cfc	m	el		doozan/es-en.data	wiktionary-gender
cha	m	el		doozan/es-en.data	wiktionary-gender
chabacanada	f	la		doozan/es-en.data	wiktionary-gender
chabacanería	f	la		doozan/es-en.data	wiktionary-gender
chabacano	m	el		doozan/es-en.data	wiktionary-gender
chabacán	m	el		doozan/es-en.data	meta-f=+
chabalongo	m	el		doozan/es-en.data	wiktionary-gender
chaboclo	m	el		doozan/es-en.data	wiktionary-gender
chabola	f	la		doozan/es-en.data	wiktionary-gender
chabolismo	m	el		doozan/es-en.data	wiktionary-gender
chabolista	mf	el/la		doozan/es-en.data	wiktionary-gender
chabolización	f	la		doozan/es-en.data	wiktionary-gender
chabona	f	la	chabón	doozan/es-en.data	meta-m=explicit
chabón	m	el		doozan/es-en.data	meta-f=+
chacabucano	m	el	chacabucana	doozan/es-en.data	meta-f=+
chacachaca	f	la		doozan/es-en.data	wiktionary-gender
chacahuala	m	el		doozan/es-en.data	wiktionary-gender
chacaj	m	el		doozan/es-en.data	wiktionary-gender
chacal	m	el		doozan/es-en.data	wiktionary-gender
chacalaca	f	la		doozan/es-en.data	wiktionary-gender
chacalele	m	el		doozan/es-en.data	wiktionary-gender
chacalín	m	el		doozan/es-en.data	wiktionary-gender
chacana	f	la		doozan/es-en.data	wiktionary-gender
chacarera	f	la		doozan/es-en.data	wiktionary-gender
chacarero	m	el		doozan/es-en.data	wiktionary-gender
chacarita	f	la		doozan/es-en.data	wiktionary-gender
chacariteño	m	el	chacariteña	doozan/es-en.data	meta-f=+
chacasino	m	el	chacasina	doozan/es-en.data	meta-f=+
chacate	m	el		doozan/es-en.data	wiktionary-gender
chacha	f	la		doozan/es-en.data	wiktionary-gender
chachachá	m	el		doozan/es-en.data	wiktionary-gender
chachacoma	f	la		doozan/es-en.data	wiktionary-gender
chachalaca	f	la		doozan/es-en.data	wiktionary-gender
chachama	f	la		doozan/es-en.data	wiktionary-gender
chachapoya	mf	el/la		doozan/es-en.data	wiktionary-gender
chacho	m	el		doozan/es-en.data	wiktionary-gender
chacho	m	el	chacha	doozan/es-en.data	meta-f=+
chachí	m	el		doozan/es-en.data	wiktionary-gender
chachón	m	el		doozan/es-en.data	meta-f=+
chacina	f	la		doozan/es-en.data	wiktionary-gender
chacinado	m	el		doozan/es-en.data	wiktionary-gender
chacinería	f	la		doozan/es-en.data	wiktionary-gender
chacmol	m	el		doozan/es-en.data	wiktionary-gender
chaco	m	el		doozan/es-en.data	wiktionary-gender
chacoano	m	el	chacoana	doozan/es-en.data	meta-f=+
chacolí	m	el		doozan/es-en.data	wiktionary-gender
chacona	f	la		doozan/es-en.data	wiktionary-gender
chacota	f	la		doozan/es-en.data	wiktionary-gender
chacotero	m	el	chacotera	doozan/es-en.data	meta-f=+
chacra	f	la		doozan/es-en.data	wiktionary-gender
chacruna	m	el		doozan/es-en.data	wiktionary-gender
chacuaco	m	el	chacuaca	doozan/es-en.data	meta-f=+
chacurú	m	el		doozan/es-en.data	wiktionary-gender
chacó	m	el		doozan/es-en.data	wiktionary-gender
chad	m	el		doozan/es-en.data	wiktionary-gender
chadiano	m	el	chadiana	doozan/es-en.data	meta-f=+
chador	m	el		doozan/es-en.data	wiktionary-gender
chaebol	m	el		doozan/es-en.data	wiktionary-gender
chafandonga	f	la		doozan/es-en.data	wiktionary-gender
chafardero	m	el	chafardera	doozan/es-en.data	meta-f=+
chafarote	m	el		doozan/es-en.data	wiktionary-gender
chafarrinada	f	la		doozan/es-en.data	wiktionary-gender
chafarrinón	m	el		doozan/es-en.data	wiktionary-gender
chaflán	m	el		doozan/es-en.data	wiktionary-gender
chagas	m	el		doozan/es-en.data	wiktionary-gender
chagatai	m	el		doozan/es-en.data	wiktionary-gender
chagosiano	m	el	chagosiana	doozan/es-en.data	meta-f=+
chagra	mf	el/la		doozan/es-en.data	wiktionary-gender
chagropanga	f	la		doozan/es-en.data	wiktionary-gender
chagual	m	el		doozan/es-en.data	wiktionary-gender
chaguar	m	el		doozan/es-en.data	wiktionary-gender
chaguaramo	m	el		doozan/es-en.data	wiktionary-gender
chagüital	m	el		doozan/es-en.data	wiktionary-gender
chagüite	m	el		doozan/es-en.data	wiktionary-gender
chahuistle	m	el		doozan/es-en.data	wiktionary-gender
chahuital	m	el		doozan/es-en.data	wiktionary-gender
chahuite	m	el		doozan/es-en.data	wiktionary-gender
chaima	mf	el/la		doozan/es-en.data	wiktionary-gender
chaineada	f	la		doozan/es-en.data	wiktionary-gender
chaineadita	f	la		doozan/es-en.data	wiktionary-gender
chaira	f	la		doozan/es-en.data	wiktionary-gender
chairo	m	el		doozan/es-en.data	wiktionary-gender
chajalele	m	el		doozan/es-en.data	wiktionary-gender
chajazo	m	el		doozan/es-en.data	wiktionary-gender
chajá	m	el		doozan/es-en.data	wiktionary-gender
chakra	m	el		doozan/es-en.data	wiktionary-gender
chal	m	el		doozan/es-en.data	wiktionary-gender
chala	f	la		doozan/es-en.data	wiktionary-gender
chalaca	f	la		doozan/es-en.data	wiktionary-gender
chalación	m	el		doozan/es-en.data	wiktionary-gender
chalaco	m	el	chalaca	doozan/es-en.data	meta-f=+
chalado	m	el	chalada	doozan/es-en.data	meta-f=+
chaladura	f	la		doozan/es-en.data	wiktionary-gender
chalana	f	la		doozan/es-en.data	wiktionary-gender
chalaparta	f	la		doozan/es-en.data	wiktionary-gender
chalateco	m	el	chalateca	doozan/es-en.data	meta-f=+
chalaza	f	la		doozan/es-en.data	wiktionary-gender
chalca	mf	el/la		doozan/es-en.data	wiktionary-gender
chalchigüite	m	el		doozan/es-en.data	wiktionary-gender
